Time,Solar_Power_kW,Wind_Power_kW,Load_Demand_kW,Battery_SOC_percent,Voltage_V,Current_A,Temperature_C,Power_Imbalance,Fault_Label
1/1/2025 0:00,2.74,2.13,4.33,73.2,230.8,11.41,32.5,0.54,0
1/1/2025 0:15,3.25,1.95,2.14,54.4,232.6,7.6,29.9,3.07,1
1/1/2025 0:30,2.64,2.16,1.96,67,228.5,6.17,30.9,2.84,1
1/1/2025 0:45,1.35,1.55,2.89,84.7,232.3,9.88,32.4,0.01,0
1/1/2025 1:00,1.52,1.18,2.65,75.7,230.9,8.2,31.3,0.05,0
1/1/2025 1:15,2.7,1.69,2.75,73.7,233.4,7.89,31.3,1.64,1
1/1/2025 1:30,2.3,2.73,5.76,73.6,225.2,15.24,31.2,-0.73,0
1/1/2025 1:45,1.55,1.24,4.91,76.9,226.6,14.17,30.9,-2.13,1
1/1/2025 2:00,4.95,1.55,3.2,59.9,230.6,9.95,36.3,3.29,1
1/1/2025 2:15,2.34,2.01,3.52,89.3,232.1,12.04,33.7,0.83,0
1/1/2025 2:30,2.25,2.23,4.14,63.3,231.2,12.37,32.7,0.34,0
1/1/2025 2:45,2.19,2.63,3,96.6,233.4,8.92,39.6,1.83,1
1/1/2025 3:00,0,0.63,6.78,72.7,225.8,20.31,36.8,-6.15,1
1/1/2025 3:15,3.04,2.51,3.11,74.1,226.7,6.95,36,2.44,1
1/1/2025 3:30,2.88,0.17,3.47,76.6,227.2,10.73,30.8,-0.42,0
1/1/2025 3:45,2.92,0,2.03,68.7,228.6,5,33.3,0.89,0
1/1/2025 4:00,1.61,0.98,3.9,71.8,227.2,11.81,20.6,-1.31,1
1/1/2025 4:15,1.29,0.92,4.93,89.4,225.7,13.52,30.2,-2.72,1
1/1/2025 4:30,1.12,2.7,4.34,80.7,233.5,12.48,41.3,-0.52,0
1/1/2025 4:45,2.02,1.13,4.22,66.8,229.3,10.11,31,-1.07,1
1/1/2025 5:00,2.86,0.55,3.69,81.5,233.3,10.84,34.2,-0.28,0
1/1/2025 5:15,1.84,2.05,0.78,85.7,231.7,5,27,3.11,1
1/1/2025 5:30,2.26,0.82,3.88,63.7,236.4,10.54,32.6,-0.8,0
1/1/2025 5:45,3.15,1.39,6.05,64,231.5,19.48,31.1,-1.5,1
1/1/2025 6:00,2.13,1.93,3.79,77.3,232.6,10.17,28.1,0.27,0
1/1/2025 6:15,2.54,1.39,5.68,72.9,230.8,16.96,32.3,-1.76,1
1/1/2025 6:30,1.88,0.66,4.33,65.6,225.1,13.39,31.1,-1.78,1
1/1/2025 6:45,3.67,1.04,4.63,87.4,231.3,14.26,30.4,0.08,0
1/1/2025 7:00,1.74,1.19,3.2,89.1,222.6,9.88,30.7,-0.27,0
1/1/2025 7:15,1.28,1.71,7,72.1,230.7,20.68,30.3,-4.01,1
1/1/2025 7:30,2.91,2.13,3.46,71.8,232.6,9.94,36.7,1.58,1
1/1/2025 7:45,2.06,0.19,4.26,65.8,229.7,12.44,34.8,-2.01,1
1/1/2025 8:00,3.03,0.3,6.15,71.2,227.6,18.13,28.6,-2.82,1
1/1/2025 8:15,2.71,1.7,2.48,74,225.8,8.27,22.8,1.93,1
1/1/2025 8:30,3.01,1.36,2.41,62.6,228.1,7.06,34.5,1.96,1
1/1/2025 8:45,4.59,2.44,1.9,74.7,223.5,6.7,29.1,5.12,1
1/1/2025 9:00,2.68,2.67,3.29,74.2,235.9,9.36,26.8,2.06,1
1/1/2025 9:15,3.13,0,3.48,77.3,222.2,10.27,29.6,-0.35,0
1/1/2025 9:30,2.9,2.02,4.67,74.4,232.3,13.75,32.8,0.24,0
1/1/2025 9:45,1.21,0.98,4.16,70,222.8,12.51,29.3,-1.97,1
1/1/2025 10:00,3.22,2.27,2.42,68,235,6.69,33.6,3.08,1
1/1/2025 10:15,1.57,1.11,4.42,70.8,236.4,11.85,34.9,-1.74,1
1/1/2025 10:30,0.91,1.42,2.57,84.8,231.3,10,38.5,-0.24,0
1/1/2025 10:45,2.52,2.77,3.42,64.5,228.4,9.1,29.3,1.87,1
1/1/2025 11:00,2.76,2.66,3.32,59.1,233,9.4,32.7,2.1,1
1/1/2025 11:15,1.99,2.7,4.38,56.7,227.2,12.62,29.5,0.32,0
1/1/2025 11:30,1.57,0.93,1.5,65,229.7,5,35.4,1,1
1/1/2025 11:45,5,2.31,2.85,68.3,230.3,9.2,27.3,4.45,1
1/1/2025 12:00,4.1,2.29,3.67,65.1,225.7,10.46,29,2.72,1
1/1/2025 12:15,1.61,1.39,3.42,65.3,233.6,10.43,28.2,-0.42,0
1/1/2025 12:30,2.4,1.92,1.92,52.1,227.7,6.4,31.8,2.4,1
1/1/2025 12:45,3.99,0.52,3.48,72.7,228,11.26,33.2,1.04,1
1/1/2025 13:00,2.64,1.52,2.81,92.6,235.4,7.85,30,1.36,1
1/1/2025 13:15,1.37,1.26,2.4,61.8,228,6.78,32.1,0.23,0
1/1/2025 13:30,2.56,1.91,3.95,75.2,229,11.33,34.8,0.52,0
1/1/2025 13:45,1.38,1.51,4.34,72.6,231,11.65,34.7,-1.45,1
1/1/2025 14:00,1.37,0.91,3.47,70.2,233.3,9.2,32.6,-1.19,1
1/1/2025 14:15,2.3,0.24,4.04,88,228.4,12.61,35.7,-1.5,1
1/1/2025 14:30,4,0.23,2.21,60.9,233.7,5.23,26,2.02,1
1/1/2025 14:45,2.85,0.95,1.92,76.1,234.5,7.74,31,1.87,1
1/1/2025 15:00,0.8,1.42,4.3,67.7,228.4,13.82,32.9,-2.08,1
1/1/2025 15:15,2.5,1.8,1.76,68.5,227.2,5.15,29.1,2.54,1
1/1/2025 15:30,2.22,2.01,3.5,100,230.6,8.3,34,0.73,0
1/1/2025 15:45,1.55,1.59,4.15,65.6,229,11.95,32.5,-1.02,1
1/1/2025 16:00,3.09,1.06,3.06,70.9,234.7,10.39,34.7,1.1,1
1/1/2025 16:15,4.72,2.47,3.19,80.2,231.4,10.26,33,4,1
1/1/2025 16:30,2.46,1.65,5.59,64.6,231.1,16.76,37.4,-1.48,1
1/1/2025 16:45,2.7,1.42,4.37,92.3,229.4,13.12,31.7,-0.25,0
1/1/2025 17:00,2.7,1.59,3.89,70.5,235.5,10.19,37.2,0.4,0
1/1/2025 17:15,1.68,2.07,4.32,85.8,229.6,14.04,32,-0.57,0
1/1/2025 17:30,2.68,1.55,4.27,85,230.7,11.48,32.8,-0.03,0
1/1/2025 17:45,3.76,1.43,3.72,86.8,230.6,11.48,29.5,1.47,1
1/1/2025 18:00,2.66,2.28,3.89,63.3,231.3,10.53,32.4,1.06,1
1/1/2025 18:15,3.98,1.26,4.04,93.1,232.2,12.41,42.4,1.2,1
1/1/2025 18:30,3.01,1.5,2.79,73.9,234.3,9.5,20,1.72,1
1/1/2025 18:45,3.4,2.06,3.92,74.5,228.6,9.76,36.2,1.54,1
1/1/2025 19:00,3.3,1.9,3.89,62,227.7,11.08,28.5,1.31,1
1/1/2025 19:15,2.05,1.25,3.16,80.2,236.9,8.77,36.5,0.13,0
1/1/2025 19:30,2.34,1.68,2.38,67.8,229,6.8,34.4,1.64,1
1/1/2025 19:45,1.97,1.48,1.85,71.9,227.6,6.4,32.9,1.61,1
1/1/2025 20:00,2.12,1.28,5.89,84,231.8,18.19,29.1,-2.5,1
1/1/2025 20:15,3.28,3.39,3.98,66.6,231.5,10.8,31.6,2.68,1
1/1/2025 20:30,1.13,1.98,3.17,63.5,230.2,9.76,32.4,-0.05,0
1/1/2025 20:45,2.45,0.58,6.18,59.9,227.8,17.74,37.5,-3.16,1
1/1/2025 21:00,2.34,0,2.17,73.4,234.6,6.6,27.1,0.17,0
1/1/2025 21:15,3.42,1.75,2.39,87.8,229.1,6.42,30.4,2.78,1
1/1/2025 21:30,3.37,2.84,2.91,71.1,232.6,9.2,29.6,3.3,1
1/1/2025 21:45,2.58,0.9,2.89,58.4,226.5,8.84,34.3,0.59,0
1/1/2025 22:00,1.38,0.75,5.86,59.5,227.5,17.26,28.2,-3.73,1
1/1/2025 22:15,1.87,0.71,3.92,77.3,228.9,11.85,33.1,-1.33,1
1/1/2025 22:30,2.16,0.03,3.36,69.4,227.6,8.98,29.9,-1.17,1
1/1/2025 22:45,2.87,0.88,2.54,79.8,229.6,7.59,31.9,1.21,1
